Category,Category_Name,SubCategory,Description,efficiency_A,efficiency_B,efficiency,heating_type,responsiveness,code,RdSAP
1,no heating system present,,electric heaters,,,100,1,1,699,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Manual feed independent boiler in heated space a),65,60,,2,0.75,151,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Manual feed independent boiler in unheated space a),60,55,,2,0.75,152,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Auto (gravity) feed independent boiler in heated space a),70,65,,2,0.75,153,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Auto (gravity) feed independent boiler in unheated space a) ,65,60,,2,0.75,154,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Wood chip/pellet independent boiler,65,63,,2,0.75,155,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Open fire with back boiler to radiators,63,55,,3,0.5,156,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Closed roomheater with boiler to radiators,67,65,,3,0.5,158,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Stove (pellet-fired) with boiler to radiators,65,63,,2,0.75,159,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Range cooker boiler (integral oven and boiler),50,45,,3,0.5,160,'rd’
2,boiler systems with rads or underfloor heating,solid fuel boilers,Range cooker boiler (independent oven and boiler),60,55,,3,0.5,161,
2,boiler systems with rads or underfloor heating,Electric boilers,Direct acting electric boiler,,,100,table_4d,table_4d,191,'rd’
2,boiler systems with rads or underfloor heating,Electric boilers,Electric CPSU in heated space a) radiators or underfloor,,,100,1,1,192,'rd’
2,boiler systems with rads or underfloor heating,Electric boilers,Electric dry core storage boiler in unheated space a) b),,,100,2,0.75,193,'rd’
2,boiler systems with rads or underfloor heating,Electric boilers, Electric dry core storage boiler in heated space a) b),,,85,2,0.75,194,
2,boiler systems with rads or underfloor heating,Electric boilers,Electric water storage boiler in heated space a) b),,,100,2,0.75,195,'rd’
2,boiler systems with rads or underfloor heating,Electric boilers,Electric water storage boiler in unheated space a) b),,,85,2,0.75,196,
3,MICRO-COGENERATION (MICRO-CHP),,,,,,,,,
4,heat pumps with rads or underfloor heating,electric heat pumps,Ground source heat pump with flow temperature <= 35°C * ,230,170,,table_4d,table_4d,211,'rd’
4,heat pumps with rads or underfloor heating,electric heat pumps,Water source heat pump with flow temperature <= 35°C * ,230,170,,table_4d,table_4d,213,'rd’
4,heat pumps with rads or underfloor heating,electric heat pumps,Air source heat pump with flow temperature <= 35°C * ,170,170,,table_4d,table_4d,214,'rd’
4,heat pumps with rads or underfloor heating,electric heat pumps,Ground source heat pump in other cases,170,170,,table_4d,table_4d,221,'rd’
4,heat pumps with rads or underfloor heating,electric heat pumps,"Water source heat pump, in other cases",170,170,,table_4d,table_4d,223,'rd’
4,heat pumps with rads or underfloor heating,electric heat pumps,Air source heat pump in other cases,170,170,,table_4d,table_4d,224,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Ground source heat pump with flow temperature <= 35°C * ,120,84,,table_4d,table_4d,215,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Water source heat pump with flow temperature <= 35°C * ,120,84,,table_4d,table_4d,216,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Air source heat pump with flow temperature <= 35°C * ,110,77,,table_4d,table_4d,217,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Ground source heat pump in other cases,84,84,,table_4d,table_4d,225,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Water source heat pump in other cases,84,84,,table_4d,table_4d,226,'rd’
4,heat pumps with rads or underfloor heating,Gas-fired heat pumps,Air source heat pump in other cases,77,77,,table_4d,table_4d,227,'rd’
5,heat pumps with warm air distribution,electric heat pumps,Ground source heat pump ,230,170,,1,1,521,'rd’
5,heat pumps with warm air distribution,electric heat pumps,Water source heat pump ,230,170,,1,1,523,'rd’
5,heat pumps with warm air distribution,electric heat pumps,Air source heat pump,170,170,,1,1,524,'rd’
5,heat pumps with warm air distribution,Gas-fired heat pumps,Ground source heat pump ,120,84,,1,1,525,
5,heat pumps with warm air distribution,Gas-fired heat pumps,Water source heat pump ,120,84,,1,1,526,
5,heat pumps with warm air distribution,Gas-fired heat pumps,Air source heat pump,110,77,,1,1,527,
6,community heating schemes,,Community boilers (SAP),,,80,1,1,2,
6,community heating schemes,,Community CHP (SAP),,,75,1,1,1,
6,community heating schemes,,Community waste heat from power station (SAP) ,,,100,1,1,4,
6,community heating schemes,,Community heat pump (SAP),,,300,1,1,3,
6,community heating schemes,,Community geothermal heat source (SAP) use manufacturer s value where available,,,100,1,1,5,
6,community heating schemes,, Community boilers only (RdSAP) ,,,80,1,1,301,'rd’
6,community heating schemes,,Community CHP and boilers (RdSAP) ,,,75,1,1,302,'rd’
6,community heating schemes,,Community heat pump (RdSAP),,,300,1,1,304,'rd’
6,community heating schemes,,Community heat network,,,,1,1,310,'rd’
7,electric storage systems ,Off-peak tariffs,Old (large volume) storage heaters,,,100,6,0,401,'rd’
7,electric storage systems ,Off-peak tariffs,Slimline storage heaters,,,100,5,0.2,402,'rd’
7,electric storage systems ,Off-peak tariffs,Convector storage heaters,,,100,5,0.2,403,
7,electric storage systems ,Off-peak tariffs,Fan storage heaters,,,100,4,0.4,404,'rd’
7,electric storage systems ,Off-peak tariffs,Slimline storage heaters with Celect-type control,,,100,4,0.4,405,
